city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Harrow Weald,51.6040,-0.3390,United Kingdom,GB,Harrow,,11376,11376
Carnoustie,56.5010,-2.7100,United Kingdom,GB,Angus,,11360,11360
Burslem,53.0426,-2.1879,United Kingdom,GB,Stoke-on-Trent,,11314,11314
Mountain Ash,51.6814,-3.3792,United Kingdom,GB,Rhondda Cynon Taff,,11230,11230
Castle Bromwich,52.5050,-1.7856,United Kingdom,GB,Birmingham,,11217,11217
Linslade,51.9243,-0.6774,United Kingdom,GB,Central Bedfordshire,,11185,11185
Prescot,53.4286,-2.8064,United Kingdom,GB,Knowsley,,11184,11184
Eckington,53.3080,-1.3643,United Kingdom,GB,Derbyshire,,11152,11152
Aylestone,52.6040,-1.1540,United Kingdom,GB,Leicester,,11151,11151
Southborough,51.1598,0.2652,United Kingdom,GB,Kent,,11124,11124
Timperley,53.3870,-2.3280,United Kingdom,GB,Trafford,,11061,11061
Bottesford,53.5521,-0.6714,United Kingdom,GB,North Lincolnshire,,11038,11038
Cudworth,53.5784,-1.4149,United Kingdom,GB,Barnsley,,10977,10977
Oakham,52.6705,-0.7333,United Kingdom,GB,Rutland,,10975,10975
Highgate,51.5716,-0.1448,United Kingdom,GB,Camden,,10955,10955
Hollinwood,53.5183,-2.1440,United Kingdom,GB,Oldham,,10920,10920
Earlestown,53.4500,-2.6500,United Kingdom,GB,St. Helens,,10830,10830
Flixton,53.4470,-2.3910,United Kingdom,GB,Trafford,,10786,10786
Parkstone,50.7100,-1.9500,United Kingdom,GB,,,10779,10779
Royston,53.6100,-1.4500,United Kingdom,GB,Barnsley,,10728,10728
Ormesby,54.5492,-1.1817,United Kingdom,GB,Middlesbrough,,10714,10714
Hatch End,51.6010,-0.3743,United Kingdom,GB,Harrow,,10693,10693
Ryhope,54.8679,-1.3698,United Kingdom,GB,Sunderland,,10484,10484
Holbeach,52.8037,0.0154,United Kingdom,GB,Lincolnshire,,10458,10458
Eccleston,53.4539,-2.7748,United Kingdom,GB,St. Helens,,10433,10433
Bradford-on-Avon,51.3470,-2.2510,United Kingdom,GB,Wiltshire,,10405,10405
Gourock,55.9538,-4.8173,United Kingdom,GB,Inverclyde,,10350,10350
Stranraer,54.9020,-5.0270,United Kingdom,GB,Dumfries and Galloway,,10320,10320
Spitalfields,51.5166,-0.0750,United Kingdom,GB,Tower Hamlets,,10286,10286
Cheam,51.3600,-0.2100,United Kingdom,GB,Sutton,,10285,10285
